大分類コード,中分類コード,名前,カナ
1,11,加工食品,カコウショクヒン
1,12,生鮮食品,セイセンショクヒン
1,13,菓子類,カシルイ
1,14,飲料・酒類,インリョウ・サケルイ
1,19,その他食品,ソノタショクヒン
2,21,日用雑貨,ニチヨウザッカ
2,22,ＯＴＣ医薬品類,ＯＴＣイヤクヒンルイ
2,23,化粧品,ケショウヒン
2,24,家庭用品,カテイヨウヒン
2,25,ＤＩＹ用品,ＤＩＹヨウヒン
2,26,ペット用品,ペットヨウヒン
2,29,その他日用品,ソノタニチヨウヒン
3,31,文具・事務用品・情報文具,ブング・ジムヨウヒン・ジョウホウブング
3,32,玩具,ガング
3,33,書籍,ショセキ
3,34,楽器・音響ソフト,ガッキ・オンキョウソフト
3,36,情報機器,ジョウホウキキ
3,39,その他文化用品,ソノタブンカヨウヒン
4,42,家具,カグ
4,43,車両用品,シャリョウヨウヒン
4,44,時計・メガネ,トケイ・メガネ
4,45,光学・写真関連品,コウガク・シャシンカンレンヒン
4,46,家電,カデン
4,49,その他耐久消費財,ソノタタイキュウショウヒザイ
5,51,衣料・衣服,イリョウ・イフク
5,53,寝具・寝装品,シング・シンソウヒン
5,54,身の回り品,ミノマワリヒン
5,55,靴・履物,クツ・ハキモノ
5,56,スポーツ用品,スポーツヨウヒン
5,59,その他衣料・身の回り品,ソノタイリョウ・ミノマワリヒン
9,99,その他商品,ソノタショウヒン
