大分類コード,中分類コード,小分類コード,名前,カナ
1,11,1101,調味料,チョウミリョウ
1,11,1102,食用油,ショクヨウアブラ
1,11,1103,スプレッド類,スプレッドルイ
1,11,1104,乳製品,ニュウセイヒン
1,11,1105,調理品,チョウリヒン
1,11,1106,スープ,スープ
1,11,1107,冷凍食品,レイトウショクヒン
1,11,1108,缶詰,カンヅメ
1,11,1110,粉類,コナルイ
1,11,1111,ホームメイキング材料,ホームメイキングザイリョウ
1,11,1112,麺類,メンルイ
1,11,1113,パン・シリアル類,パン・シリアルルイ
1,11,1114,穀物,コクモツ
1,11,1115,加工肉類,カコウニクルイ
1,11,1116,練り製品,ネリセイヒン
1,11,1117,漬物・佃煮,ツケモノ・ツクダニ
1,11,1118,水物,ミズモノ
1,11,1119,惣菜類,ソウザイルイ
1,11,1120,農産乾物,ノウサンカンブツ
1,11,1121,加工水産,カコウスイサン
1,11,1197,その他加工食品,ソノタカコウショクヒン
1,12,1201,水産,スイサン
1,12,1202,畜産,チクサン
1,12,1203,農産,ノウサン
1,12,1297,その他生鮮食品,ソノタセイセンショクヒン
1,13,1301,菓子,カシ
1,13,1302,デザート・ヨーグルト,デザート・ヨーグルト
1,13,1303,珍味,チンミ
1,13,1304,アイスクリーム類,アイスクリームルイ
1,13,1397,その他菓子類,ソノタカシルイ
1,14,1401,嗜好飲料,シコウインリョウ
1,14,1402,果実飲料,カジツインリョウ
1,14,1403,清涼飲料,セイリョウインリョウ
1,14,1404,乳飲料,ニュウインリョウ
1,14,1406,アルコール飲料,アルコールインリョウ
1,14,1407,酒類を含むセット商品,サケルイヲフクムセットショウヒン
1,14,1497,その他飲料・酒類,ソノタインリョウ・サケルイ
1,19,1901,乳幼児食品,ニュウヨウジショクヒン
1,19,1902,健康食品,ケンコウショクヒン
1,19,1903,食品贈答品,ショクヒンゾウトウヒン
1,19,1997,その他食品,ソノタショクヒン
2,21,2121,口中衛生用品,コウチュウエイセイヨウヒン
2,21,2122,石鹸類,セッケンルイ
2,21,2123,衛生紙用品・用具,エイセイカミヨウヒン・ヨウグ
2,21,2124,介護用品・用具,カイゴヨウヒン・ヨウグ
2,21,2125,育児用品・用具,イクジヨウヒン・ヨウグ
2,21,2126,衛生医療用品・用具,エイセイイリョウヨウヒン・ヨウグ
2,21,2127,衣料用洗剤類,イリョウヨウセンザイルイ
2,21,2128,台所・食器用洗剤類,ダイドコロ・ショッキヨウセンザイルイ
2,21,2129,住居用洗剤類,ジュウキョヨウセンザイルイ
