大分類コード,中分類コード,小分類コード,細分類コード,名前,カナ
1,11,1101,110101,醤油,シヨウユ
1,11,1101,110103,砂糖,サトウ
1,11,1101,110105,低カロリー甘味料,テイカロリ－カンミリヨウ
1,11,1101,110107,味噌,ミソ
1,11,1101,110109,食塩,シヨクエン
1,11,1101,110111,食酢,シヨクス
1,11,1101,110113,合わせ酢（和風）,ワフウアワセス
1,11,1101,110115,みりん風調味料,ミリンフウチヨウミリヨウ
1,11,1101,110117,料理用日本酒,リヨウリヨウ　ニホンシユ
1,11,1101,110119,料理用ワイン,リヨウリヨウ　ワイン
1,11,1101,110121,風味調味料,フウミチヨウミリヨウ
1,11,1101,110123,液体だし,エキタイダシ
1,11,1101,110125,単一・複合調味料,タンイツ，フクゴウチヨウミ
1,11,1101,110129,ソース,ソ－ス
1,11,1101,110131,ケチャップ,ケチヤツプ
1,11,1101,110133,焼き肉のたれ,ヤキニクノタレ
1,11,1101,110135,その他のたれ,ソノタノタレ
1,11,1101,110137,マヨネーズ,マヨネ－ズ
1,11,1101,110139,ドレッシング,ドレツシング
1,11,1101,110141,香辛料（からし・わさび以外）,コウシンリヨウ（カラシワサヒ
1,11,1101,110142,からし・わさび,カラシ，ワサビ
1,11,1101,110143,つゆ,ツユ
1,11,1101,110149,中華調味料,チユウカチヨウミリヨウ
1,11,1101,110197,その他調味料,ソノタチヨウミリヨウ
1,11,1102,110203,ゴマ油,ゴマアブラ
1,11,1102,110205,サラダ油・天ぷら油,サラダ，テンプラアブラ
1,11,1102,110207,動物性油脂,ドウブツセイユシ
1,11,1102,110209,オリーブ油,オリ－ブユ
1,11,1102,110211,香味油,コウミユ
1,11,1102,110297,その他食用油,ソノタシヨクヨウアブラ
1,11,1103,110301,ピーナッツ・チョコクリーム,ピ－ナツツ，チヨコクリ－ム
1,11,1103,110303,ジャム・マーマレード,ジヤム，マ－マレ－ド
1,11,1103,110397,その他スプレッド類,ソノタスプレツドルイ
1,11,1104,110401,バター,バタ－
1,11,1104,110403,マーガリン・ファットスプレッド類,マ－ガリン，フアツトスプ
1,11,1104,110405,チーズ,チ－ズ
1,11,1104,110407,インスタントクリームパウダー,インスタントクリ－ムパウタ
1,11,1104,110409,スキムミルク,スキムミルク
1,11,1104,110411,練りミルク,ネリミルク
1,11,1104,110413,フレッシュクリーム,フレツシユクリ－ム
1,11,1104,110415,ホイップクリーム,ホイツプクリ－ム
1,11,1104,110497,その他乳製品,ソノタニユウセイヒン
1,11,1105,110501,インスタントカレー,インスタントカレ－
1,11,1105,110502,調理済みカレー,チヨウリズミカレ－
1,11,1105,110503,インスタントシチュー,インスタントシチユ－
1,11,1105,110504,調理済みシチュー,チヨウリズミシチユ－
1,11,1105,110505,ソースミックス,ソ－スミツクス
1,11,1105,110507,中華料理の素,チユウカリヨウリノモト
1,11,1105,110509,まぜ御飯の素,マゼゴハンノモト
1,11,1105,110511,米飯加工品,ベイハンカコウヒン
1,11,1105,110513,レンジ専用食品,レンジセンヨウシヨクヒン
1,11,1105,110515,ふりかけ,フリカケ
1,11,1105,110517,お茶漬の素,オチヤヅケノモト
1,11,1105,110597,その他調理品,ソノタチヨウリヒン
1,11,1106,110601,調理用スープ,チヨウリヨウス－プ
1,11,1106,110603,インスタントスープ,インスタントス－プ
