名前,カナ
アケビ,アケビ
アセロラ,アセロラ
アボカド,アボカド
アンズ,アンズ
イチゴ,イチゴ
イチジク,イチジク
梅,ウメ
みかん,ミカン
オレンジ,オレンジ
柿,カキ
カリン,カリン
キウイフルーツ,キウイフルーツ
キワノ,キワノ
栗,クリ
グアバ,グアバ
グレープフルーツ,グレープフルーツ
サクランボ,サクランボ
ザクロ,ザクロ
スイカ,スイカ
スターフルーツ,スターフルーツ
スモモ,スモモ
プラム,プラム
西洋梨,セイヨウナシ
チェリモヤ,チェリモヤ
中国梨,チュウゴクナシ
ドラゴンフルーツ,ドラゴンフルーツ
ドリアン,ドリアン
ナシ,ナシ
ネクタリン,ネクタリン
バナナ,バナナ
パイナップル,パイナップル
パッションフルーツ,パッションフルーツ
パパイア,パパイア
ビワ,ビワ
葡萄,ブドウ
ブルーベリー,ブルーベリー
プルーン,プルーン
ラズベリー,ラズベリー
ブラックベリー,ブラックベリー
クランベリー,クランベリー
グーズベリー,グーズベリー
カシス,カシス
ハスカップ,ハスカップ
マルメロ,マルメロ
マンゴスチン,マンゴスチン
マンゴー,マンゴー
メロン,メロン
桃,モモ
ライチ,ライチ
林檎,リンゴ
レモン,レモン
